Table 1: Past Events and Dates
""
| N/A | It is unclear if Block management will make it easy to track fraud expenses at the company |
| N/A | Cash App fraud losses are currently rolled into broader and questionably relevant expense categories |
| N/A | Cash App is still facing fraud problems |
| N/A | It is unclear if Cash App will continue to automatically refund any disputed card charge of less than $25 |
| N/A | It is unclear if Cash App will continue to acquiesce to users who regularly charge food deliveries to the card and then demand their money back |
| N/A | It is unclear if Cash App will continue to charge a fee of 0.5% to 1.75% for speeding payments that otherwise take 1-3 business days |
| N/A | It is unclear if Cash App will continue to face pushback from states due to COVID relief fraud |
| N/A | It is unclear if Cash App will continue to be vulnerable to fraud |
| March 2022 | The US Department of the Labor Office of the Inspector General testified that a total of $163 billion in improper pandemic unemployment payments were made |
| Unknown | States are beginning to come to grips with the damage |
| Unknown | A full reckoning of the losses may never be known |
| Unknown | Cash App’s partner bank was disproportionately processing suspicious COVID-relief transactions |
| Unknown | Block management mostly ignored warnings regarding lapses in Cash App’s compliance processes |
| Unknown | Compliance lapses in Cash App’s compliance processes facilitated its disproportionate pandemic-related fraud |
| Unknown | Compliance measures were not implemented to catch identity theft |
| Unknown | Compliance measures once again create “friction”, slowing down Cash App users’ immediate access to funds |
| Unknown | Cash App’s Compliance Lapses Remained Open For Exploitation By Fraudsters Even After The Secret Service Flagged the Risks of Allowing Such Transactions |
| Unknown | Cash App’s Compliance Lapses Remained Open For Exploitation By Fraudsters Even After FINCEN Flagged the Risks of Allowing Such Transactions |
| Unknown | Cash App Attempted to Claw Back Funds After States Said They Suspected Payments Were Fraudulent |
| Unknown | Cash App Eventually Implemented Software For Detecting Red Flags of Fraud, But It Was Put In Place ~10 Months After Payments Began And It Continued to Overlook Name Mismatches, According to Former Employees |
| Unknown | Block Management Rarely Mentions Fraud, With No Mentions During Earnings Calls In 2019-2021 |
| Unknown | Fueled By Revenue From Fraudulent Transactions And Fake Accounts Padding Its User Metrics, Block’s Stock Surged By More Than 639% During the Pandemic |
"| October 2022 | Credit Suisse estimated that Cash App's ""interchange fees"" accounted for $892 million", or ~35% of 2021 Cash App revenue |
| 2010 | Congress capped interchange fees under the Durbin Amendment to the Dodd-Frank Act |
| July 29, 2021 | PayPal revealed in its quarterly filing that it had received subpoenas and requests for information from the U.S. Securities and Exchange Commission (“SEC”) about whether the interchange revenue on its debit cards complied with regulations |
"| October 2022 | Credit Suisse estimated that Cash App's ""instant deposit"" feature contributed 31% of total Cash App revenue in 2022 |"
| July 2023 | The Federal Reserve will launch FedNow, a modern instant payment solution. |
| Unknown | Afterpay is facing tighter regulation in Australia and the U.S. |
| Unknown | Additional regulations are coming for BNPL," which is ""like other forms of credit"". |"
